id,expected_quality,question,expected_route,actual_route,sql_intent,answer_preview,sources_count,sources,best_distance,avg_distance,worst_distance,source_count_with_distance,distance_class_temp,api_latency_seconds,client_elapsed_seconds
rag_good_001,good,Why was the surgical light work order cancelled?,RAG,RAG,,The work order **work_orders_136** was cancelled because the issue was merged into a higher priority work order for the same equipment. This is explicitly stated in the cancellation_notes for work_orders_136.   **Source:** work_orders_136,9,"work_orders_136, work_orders_56, work_orders_76, claims_536, claims_596, claims_556, equipment_55, equipment_91, equipment_19",294.4520263671875,380.33942328559027,452.9814453125,9,weak,233.856,233.886
rag_good_002,good,What happened with the surgical light work order?,RAG,RAG,,The surgical light work orders (WOs) related to the issue were as follows:   - **WO 136** was **cancelled** because the problem was merged into a higher-priority work order for the same equipment.   - **WO 5,9,"work_orders_136, work_orders_56, work_orders_76, claims_536, claims_596, claims_556, equipment_55, equipment_91, equipment_19",277.6883544921875,360.8249104817708,424.7527160644531,9,weak,13.661,13.669
rag_good_003,good,Explain the cancellation reason for the surgical light work order.,RAG,RAG,,The cancellation reason for the surgical light work order (Work Order 136) is that the issue was merged into a higher priority work order for the same equipment. This is explicitly stated in the cancellation notes,9,"work_orders_136, work_orders_56, work_orders_76, claims_536, claims_636, claims_596, equipment_55, equipment_91, equipment_19",272.6092834472656,354.9650302463108,429.95751953125,9,weak,13.794,13.81
semantic_001,medium,Which records mention oxygen sensor drift?,,RAG,,I do not have enough information in the database.,10,"work_orders_104, work_orders_44, work_orders_184, claims_624, claims_644, claims_584, tasks_131, tasks_11, tasks_98, equipment_65",192.2815704345703,273.68704681396486,422.9750061035156,10,strong,13.885,13.915
semantic_002,medium,Which records mention pump seal leakage?,,RAG,,The records mentioning pump seal leakage are:,9,"work_orders_19, work_orders_39, work_orders_59, claims_579, claims_539, claims_619, equipment_103, equipment_67, equipment_31",190.69482421875,237.47767300075955,328.1753234863281,9,strong,13.658,13.663
semantic_003,medium,Which records mention compressor overheating?,,RAG,,I do not have enough information in the database.,9,"work_orders_66, work_orders_86, claims_566, claims_546, claims_646, work_orders_106, equipment_138, equipment_102, equipment_66",250.99551391601562,268.2038082546658,299.6209411621094,9,weak,13.877,13.903
broad_001,weak,Why equipments are failing?,RAG,RAG,,I do not have enough information in the database.,9,"work_orders_105, work_orders_5, work_orders_25, claims_645, claims_565, claims_545, equipment_106, equipment_71, equipment_70",327.3766174316406,348.4904039171007,374.1534118652344,9,weak,13.806,13.83
broad_002,weak,Why are machines having problems?,RAG,HYBRID,spare_parts_below_min_stock,"しだい   The machines are having problems due to several factors, many of which are related to **equipment failure**, **wear and tear**, **environmental conditions**, and **lack of maintenance**. Here's a breakdown of the key reasons:  ---  ### 1. **Equ",40,"spare_parts_11, spare_parts_16, spare_parts_31, spare_parts_32, spare_parts_33, spare_parts_44, spare_parts_55, spare_parts_88, spare_parts_90, spare_parts_98, spare_parts_99, spare_parts_110, spare_parts_111, spare_parts_112, spare_parts_121, spare_parts_132, spare_parts_154, spare_parts_156, spare_parts_176, spare_parts_177, work_orders_441, work_orders_81, work_orders_42, work_orders_325, work_orders_406, work_orders_173, work_orders_33, work_orders_479, work_orders_98, work_orders_318, work_orders_219, work_orders_446, work_orders_44, work_orders_264, work_orders_388, work_orders_320, work_orders_481, work_orders_294, work_orders_438, work_orders_28",,,,0,no_distance,12.64,12.67
broad_003,weak,What are the common maintenance problems?,,HYBRID,spare_parts_below_min_stock,"The common maintenance problems identified from the provided work orders include:  1. **Sensor Drift/Issues**      - **Oxygen Sensor Drift**: Ventilator and RO water system oxygen sensors show calibration discrepancies (e.g., 8% deviation), requiring",40,"spare_parts_11, spare_parts_16, spare_parts_31, spare_parts_32, spare_parts_33, spare_parts_44, spare_parts_55, spare_parts_88, spare_parts_90, spare_parts_98, spare_parts_99, spare_parts_110, spare_parts_111, spare_parts_112, spare_parts_121, spare_parts_132, spare_parts_154, spare_parts_156, spare_parts_176, spare_parts_177, work_orders_441, work_orders_81, work_orders_42, work_orders_325, work_orders_406, work_orders_173, work_orders_33, work_orders_479, work_orders_98, work_orders_318, work_orders_219, work_orders_446, work_orders_44, work_orders_264, work_orders_388, work_orders_320, work_orders_481, work_orders_294, work_orders_438, work_orders_28",,,,0,no_distance,12.592,12.611
sql_001,sql,Which spare parts are below minimum stock?,SQL,SQL,spare_parts_below_min_stock,"The following spare parts are below minimum stock: - SKU-00112 — Analyzer cuvette segment 112 (current stock: 0, minimum stock: 3) - SKU-00176 — Chiller pressure switch 176 (current stock: 0, minimum stock: 3) - SKU-00016 — Compressor oil separator 0",0,,,,,0,no_distance,0.051,0.074
